model,feature_set,target,is_multiclass,n_test,accuracy,precision_macro,recall_macro,f1_macro,class_0_precision,class_0_recall,class_0_f1,class_0_count,class_1_precision,class_1_recall,class_1_f1,class_1_count,prec@0.4,signals@0.4,prec@0.5,signals@0.5,prec@0.6,signals@0.6,prec@0.7,signals@0.7,prec@0.8,signals@0.8,confusion_matrix,train_time_s,n_features,n_train,n_valid_target_rows,target_desc
XGBoost,V2_core,bin_rr30m_ge_2,False,969340,0.6079848144098046,0.5858312062259601,0.5855924895341105,0.5857066851828752,0.6802,0.6834,0.6818,595684,0.4915,0.4878,0.4896,373656,0.4089,855874,0.4915,370902,0.6291,131925,0.7492,57204,0.8492,23540,"[[407063, 188621], [191375, 182281]]",35.74,42,3877478,4846848,Reward/Risk futuro 30m >= 2
XGBoost,V2_core,bin_tb30m_tp4p0_sl2p0,False,962361,0.6798581821166901,0.6319637440819247,0.7303738443770089,0.6156337286467402,0.9436,0.6543,0.7728,800615,0.3203,0.8065,0.4585,161746,0.2911,495242,0.3203,407232,0.3684,281907,0.4869,107451,0.6369,35330,"[[523826, 276789], [31303, 130443]]",38.33,42,3849564,4811955,TP +4.0% antes SL -2.0% en 30 candles
XGBoost,V2_core,bin_rr10m_ge_3,False,1005244,0.6088869965898827,0.5750649831010265,0.5840700120019229,0.5741789839197464,0.7483,0.6501,0.6957,691465,0.4019,0.518,0.4526,313779,0.3353,864499,0.4019,404471,0.4982,141447,0.6066,38305,0.7317,4465,"[[449537, 241928], [151236, 162543]]",39.23,42,4021094,5026368,Reward/Risk futuro 10m >= 3
XGBoost,V2_core,bin_rr10m_ge_2,False,1005244,0.592696897469669,0.5762393264019834,0.579093278363215,0.5764249754298891,0.6852,0.6355,0.6594,623741,0.4673,0.5226,0.4934,381503,0.4022,884319,0.4673,426714,0.5713,135504,0.681,36597,0.7975,5166,"[[396416, 227325], [182114, 199389]]",39.25,42,4021094,5026368,Reward/Risk futuro 10m >= 2
XGBoost,V2_core,bin_tb60m_tp4p0_sl2p0,False,907494,0.6446070166855098,0.6323700000166678,0.6876704819833694,0.6107047323418318,0.8984,0.6085,0.7256,700679,0.3664,0.7668,0.4958,206815,0.3337,542130,0.3664,432874,0.4486,226616,0.5899,82479,0.7186,32200,"[[426391, 274288], [48229, 158586]]",37.25,42,3630094,4537618,TP +4.0% antes SL -2.0% en 60 candles
XGBoost,V2_core,bin_clean_entry_10m,False,1005244,0.6773450028052891,0.5928603455887365,0.740873848765159,0.5639013306422128,0.9701,0.6611,0.7863,902773,0.2156,0.8207,0.3415,102471,0.1931,477877,0.2156,390066,0.2514,270870,0.3293,120124,0.4573,31340,"[[596802, 305971], [18376, 84095]]",41.49,42,4021094,5026368,Upside >= 3% y drawdown < 1.5% en 10 candles
XGBoost,V2_full,bin_rr10m_ge_3,False,1005244,0.6045517307240829,0.5769210665837078,0.5873508090134167,0.5743289894486665,0.7527,0.6331,0.6878,691465,0.4012,0.5416,0.4609,313779,0.3393,844695,0.4012,423609,0.4988,149486,0.6132,39909,0.7377,4800,"[[437789, 253676], [143846, 169933]]",65.06,76,4021094,5026368,Reward/Risk futuro 10m >= 3
XGBoost,V2_full,bin_rr10m_ge_2,False,1005244,0.5922721249766226,0.5783774396485352,0.5818970616731058,0.5781003378783975,0.689,0.625,0.6554,623741,0.4677,0.5388,0.5008,381503,0.4056,870661,0.4677,439503,0.5731,143481,0.6891,38670,0.8028,5527,"[[389808, 233933], [175933, 205570]]",65.32,76,4021094,5026368,Reward/Risk futuro 10m >= 2
XGBoost,V2_full,bin_rr30m_ge_2,False,969340,0.6083830235005261,0.5871183720740397,0.5873384458168411,0.5872239463329243,0.6821,0.6792,0.6807,595684,0.4921,0.4955,0.4938,373656,0.4102,852443,0.4921,376218,0.6284,134124,0.7436,58129,0.8348,24239,"[[404598, 191086], [188524, 185132]]",59.12,76,3877478,4846848,Reward/Risk futuro 30m >= 2
XGBoost,V2_full,bin_tb30m_tp4p0_sl2p0,False,962361,0.6809419749969087,0.6324031040216529,0.7309758836999816,0.616510762694596,0.9437,0.6556,0.7737,800615,0.3211,0.8063,0.4593,161746,0.2914,494299,0.3211,406149,0.3708,278369,0.485,110140,0.63,36620,"[[524889, 275726], [31323, 130423]]",60.43,76,3849564,4811955,TP +4.0% antes SL -2.0% en 30 candles
