model,feature_set,target,score,class_1_precision,class_1_recall,class_1_f1,prec@0.4,signals@0.4,prec@0.5,signals@0.5,prec@0.6,signals@0.6,prec@0.7,signals@0.7,prec@0.8,signals@0.8,f1_macro,train_time_s,n_features
XGBoost,D_all,bin_mfr10m_1p5,0.708,0.6891,900749,0.7439,0.7984,413137,0.8498,225284,0.9049,81592,,28.44,,,0.6564,5374908,6718636
XGBoost,D_clean_ext,bin_mfr10m_1p5,0.7076,0.6888,901960,0.7436,0.7976,414737,0.8496,225065,0.9042,81336,,26.56,,,0.6562,5374908,6718636
LightGBM,D_all,bin_mfr10m_1p5,0.7074,0.689,899678,0.7441,0.797,413230,0.8496,223430,0.9055,78358,,27.34,,,0.6553,5374908,6718636
XGBoost,D_clean,bin_mfr10m_1p5,0.7074,0.6884,903933,0.7433,0.7971,415226,0.849,225481,0.9047,80497,,26.16,,,0.6561,5374908,6718636
LightGBM,D_clean,bin_mfr10m_1p5,0.7067,0.6881,902554,0.7429,0.7957,416244,0.8488,223236,0.9058,76570,,36.72,,,0.6551,5374908,6718636
XGBoost,F_price_vol_time,bin_mfr10m_1p5,0.7061,0.6892,893037,0.7439,0.7972,406906,0.8494,217936,0.9043,75303,,19.74,,,0.6536,5374908,6718636
XGBoost,B_enriched,bin_mfr10m_1p5,0.7058,0.686,910489,0.7408,0.7958,412309,0.8491,218788,0.9058,74173,,21.78,,,0.655,5374908,6718636
LightGBM,F_price_vol_time,bin_mfr10m_1p5,0.705,0.6888,893554,0.743,0.7958,407357,0.8483,215963,0.9055,70817,,16.64,,,0.6527,5374908,6718636
LightGBM,B_enriched,bin_mfr10m_1p5,0.7049,0.6859,908679,0.7409,0.795,411423,0.8481,218543,0.9066,70687,,17.43,,,0.6537,5374908,6718636
XGBoost,D1_core_momentum,bin_mfr10m_1p5,0.7029,0.6854,909215,0.7394,0.7936,415226,0.8463,216325,0.9026,71156,,18.71,,,0.6537,5374908,6718636
XGBoost,D3_liquidity_context,bin_mfr10m_1p5,0.6991,0.6781,930835,0.7331,0.7898,411933,0.8445,209443,0.9001,67409,,15.23,,,0.6513,5374908,6718636
XGBoost,C_price_action,bin_mfr10m_1p5,0.6935,0.6748,937365,0.7282,0.7843,411420,0.8385,208921,0.8939,64261,,16.75,,,0.6473,5374908,6718636
XGBoost,D2_breakout_structure,bin_mfr10m_1p5,0.6932,0.6747,934845,0.7278,0.7838,407456,0.8384,207486,0.8935,64384,,17.06,,,0.6456,5374908,6718636
LightGBM,C_price_action,bin_mfr10m_1p5,0.6921,0.6753,934546,0.7284,0.7827,412717,0.8367,209824,0.8934,61135,,13.83,,,0.6468,5374908,6718636
XGBoost,D_clean,bin_mfr10m_1atr,0.6872,0.6445,1110015,0.6991,0.7795,312677,0.8522,126771,0.9122,41746,,26.07,,,0.5993,5353002,6691253
XGBoost,D_clean_ext,bin_mfr10m_1atr,0.6871,0.6444,1109876,0.699,0.7799,312437,0.8529,125871,0.9116,41782,,26.49,,,0.5994,5353002,6691253
XGBoost,A_base,bin_mfr10m_1p5,0.6868,0.6691,954868,0.723,0.779,406822,0.8345,198719,0.8889,55425,,12.56,,,0.6442,5374908,6718636
XGBoost,D_all,bin_mfr10m_1atr,0.6867,0.6445,1110791,0.6997,0.7805,310664,0.8517,126176,0.9115,41138,,28.92,,,0.5999,5353002,6691253
XGBoost,B_enriched,bin_mfr10m_1atr,0.6854,0.6425,1117641,0.6951,0.7773,303108,0.8542,112728,0.915,36419,,21.42,,,0.5967,5353002,6691253
LightGBM,A_base,bin_mfr10m_1p5,0.6853,0.6691,953198,0.723,0.7786,406920,0.8327,198004,0.8884,52748,,10.71,,,0.6435,5374908,6718636
XGBoost,F_price_vol_time,bin_mfr10m_1atr,0.685,0.6433,1106025,0.7001,0.7807,290847,0.8546,113187,0.9146,34777,,18.59,,,0.5948,5353002,6691253
LightGBM,D_all,bin_mfr10m_1atr,0.6848,0.6437,1111958,0.6985,0.7788,308768,0.8519,121581,0.9123,36980,,26.81,,,0.5984,5353002,6691253
LightGBM,B_enriched,bin_mfr10m_1atr,0.6843,0.6419,1118353,0.6943,0.7761,301090,0.8548,107188,0.9186,31894,,17.78,,,0.5961,5353002,6691253
LightGBM,F_price_vol_time,bin_mfr10m_1atr,0.6835,0.6423,1108031,0.6986,0.7807,286023,0.8543,108531,0.9164,31540,,15.46,,,0.5935,5353002,6691253
XGBoost,D1_core_momentum,bin_mfr10m_1atr,0.6828,0.6415,1119185,0.6928,0.7725,308416,0.8506,111446,0.9145,33777,,18.17,,,0.5956,5353002,6691253
XGBoost,D3_liquidity_context,bin_mfr10m_1atr,0.6825,0.636,1143862,0.6899,0.781,256908,0.8614,86147,0.9289,23447,,14.94,,,0.5892,5353002,6691253
XGBoost,C_price_action,bin_mfr10m_1atr,0.6626,0.6345,1152634,0.6879,0.7674,278382,0.8372,91679,0.8951,21228,,16.58,,,0.5882,5353002,6691253
XGBoost,D2_breakout_structure,bin_mfr10m_1atr,0.6619,0.6346,1151517,0.6879,0.7677,280328,0.8339,98467,0.8862,25539,,16.73,,,0.5882,5353002,6691253
LightGBM,C_price_action,bin_mfr10m_1atr,0.6605,0.6339,1153402,0.6885,0.7665,274875,0.8363,88542,0.8963,18680,,13.79,,,0.5868,5353002,6691253
XGBoost,A_base,bin_mfr10m_1atr,0.6512,0.6293,1180077,0.678,0.764,246020,0.8403,64164,0.9001,10904,,12.49,,,0.5827,5353002,6691253
