model,feature_set,target,score,accuracy,f1_macro,class_1_precision,class_1_recall,class_1_f1,prec@0.4,signals@0.4,prec@0.5,signals@0.5,prec@0.6,signals@0.6,prec@0.7,signals@0.7,prec@0.8,signals@0.8,train_time_s,n_features
XGBoost,D_all,bin_mfr10m_1p0,0.7143,0.6652,0.6467,0.7522,155686.0,0.7975,0.8453,75052,0.8892,40388,0.9373,16160,,4.66,79.0,833781,,
LightGBM,D_all,bin_mfr10m_1p0,0.7123,0.6624,0.6448,0.7523,155180.0,0.7981,0.8461,73926,0.8898,39557,0.9364,14904,,5.23,79.0,833781,,
XGBoost,B_enriched,bin_mfr10m_1p0,0.7108,0.6631,0.6439,0.7496,157229.0,0.7937,0.8422,74723,0.8854,39920,0.9324,15973,,3.57,53.0,833781,,
LightGBM,B_enriched,bin_mfr10m_1p0,0.7103,0.6603,0.6422,0.7495,156645.0,0.7949,0.8423,73372,0.888,38611,0.9356,14529,,3.88,53.0,833781,,
XGBoost,F_price_vol_time,bin_mfr10m_1p0,0.7074,0.6576,0.6403,0.749,155448.0,0.7955,0.8409,73200,0.8831,38946,0.9284,15010,,3.32,48.0,833781,,
LightGBM,F_price_vol_time,bin_mfr10m_1p0,0.7061,0.656,0.6392,0.7492,155243.0,0.7962,0.8411,73063,0.8831,38449,0.9299,13832,,3.91,48.0,833781,,
XGBoost,C_price_action,bin_mfr10m_1p0,0.6976,0.6473,0.6307,0.7454,155976.0,0.7901,0.8346,71524,0.8773,35817,0.9199,12449,,2.72,36.0,833781,,
LightGBM,C_price_action,bin_mfr10m_1p0,0.6962,0.6436,0.6283,0.7468,154318.0,0.7914,0.836,70226,0.879,34978,0.9216,11161,,3.32,36.0,833781,,
XGBoost,A_base,bin_mfr10m_1p0,0.6867,0.6457,0.6275,0.7399,159538.0,0.784,0.8269,70856,0.8689,34460,0.9057,10797,,2.3,23.0,833781,,
LightGBM,A_base,bin_mfr10m_1p0,0.6856,0.6432,0.6264,0.7408,158454.0,0.786,0.83,68733,0.8705,33082,0.9096,9411,,2.99,23.0,833781,,
